comment,brand,title
"Here’s the thing though, we all watch this from another country and feel bad about the working conditions but then we all still order products made from people in this condition. What needs to happen is consumerism needs to calm down. We don’t need to make a purchase every day. We don’t need to buy random products on SHEIN or Amazon simply because they are cheap are cute. This is the reality of those purchases. We line the pockets of people like Jeff bezos and we add to the demand for these people to work 18 hour shifts

*edit* I never said it was a United States issue, lol. Most modern world countries participate in senseless consumerism. Please read correctly before coming at me in the comments saying I said it was only Americans, I never said that",shein,Inside Shein’s factory village
"​I see Amplify as something that could benefit the elderly, helping them climb stairs more easily and put less stress on their feet. ❤",nike,I Tested Nike’s Top Secret Shoe
"This was just a Nike commercial, it should have the “Sponsored” disclaimer",nike,I Tested Nike’s Top Secret Shoe
Can’t wait when it’s 2050 and I had to make sure my bed is plugged in and clothes and charged and my glasses are oh wait they already made tech glasses,nike,I Tested Nike’s Top Secret Shoe
"2:54 if it can truly reduce fatigue while walking the same distance, I can see this clearly being an amazing product for the elderly.",nike,I Tested Nike’s Top Secret Shoe
11:25  Consider these shoes for people who have neuropathy.  Nerve endings are damaged due to illness or chemotherapy.  The firmness of the nodes could be changed to either stimulate more or less.  People suffering from neuropathy may be extremely sensitive to touch.,nike,I Tested Nike’s Top Secret Shoe
Aero fit is just a fancy name for perforated fabric 😂😂😂,nike,I Tested Nike’s Top Secret Shoe
2:25 Hideo Kojima would be so proud!,nike,I Tested Nike’s Top Secret Shoe
11:58 Peak performance in the bedroom. Stop the cap Arun,nike,I Tested Nike’s Top Secret Shoe
"0:46 , nothing to be surprised, its just pascal’s law

“ when pressure is applied to a fluid enclosed in a container, the pressure is transmitted equally to every part of the container, as well as walls of it.”

Same way how inflating a tyre works, or a life jacket, swimming tube etc.",nike,I Tested Nike’s Top Secret Shoe
"Nike wants the bottom of our feet to feel like barefoot shoes, yet they still don’t give us space in the toe box to have a natural foot shape step.",nike,I Tested Nike’s Top Secret Shoe
"11:25 Imagine this shoes, for people with neuropathy. Where nerve endings are damaged from illness or chemotherapy. The firmness of the nodes could be adjusted to either stimulate more or much less. People with neuropathy can be super sensitive to touch.",nike,I Tested Nike’s Top Secret Shoe
"I was dying for him to try the shoes on lego, or gavel 😂  11:14",nike,I Tested Nike’s Top Secret Shoe
"8:14 I know he wanted to feel them up, I just can't prove it.",nike,I Tested Nike’s Top Secret Shoe
Amplify could benefit the elderly by improving their ability to climb stairs and reduce foot stress.,nike,I Tested Nike’s Top Secret Shoe
10:03 Nike discovered barefoot shoes and overcomplicated solution 🤣👍,nike,I Tested Nike’s Top Secret Shoe
11:05 imagine a rock or sticker get stuck in the nodes,nike,I Tested Nike’s Top Secret Shoe
As someone who was previously on the other side of the veil when it comes to sports technology most people don’t understand how Nike completely changes the product that they give athletes. The consumer level product are the great value brands of the actual product. It’s wild. There should be a law.,nike,I Tested Nike’s Top Secret Shoe
"I would love to see a test with 2 of those walking exoskeletons. Like one being the belt thing shown in the past and the other the on the bottom of the legs thing shown here.

Then to have comparison of having non of them done and with both of them, at the end checking them individually to see which is ""better"".",nike,I Tested Nike’s Top Secret Shoe
"8:04 LMAO that is some BS. Genius marketing. ""Each shirt has a different weave so you have to get one for each sport!!""",nike,I Tested Nike’s Top Secret Shoe
I am a nike tester that had the opportunity with the first 2 designs of the Amplify and the second Mind. Cool to see they gave you incredible access especically of the 4th floor in the LJ building,nike,I Tested Nike’s Top Secret Shoe
"You look absolutely gorgeous in your outfits. Specially, love the jeans on you.❤",shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
You look fabulous in all of the outfits simply stunning but my favorite was the shorts and the black cropped top and I love the hair style very much your simply beautiful 😘❤❤❤❤❤❤❤❤,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
I love SHEIN too,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
"Brown beauty  first set 10/10 second set 8/10 only because of Shein price point better quality jeans will look TaylorMade on you❤
Third set 9/10 fourth set 10/10 jean shorts fit perfectly❤❤ fifth set 7/10
Sixth set 100/100🎉 
Great video 📹 brown queen 👸 ❤❤",shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
"When a woman is this fine, everything she wear looks good on her.❤❤",shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
I love this channel ❤,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Love Your New Style! For Halloween Party Stuff 💐💐💐😁😘💕🆕🎃👻🎉🥳😀😄😉,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Great outfits like the shorts and mini skirt the leather jacket cool,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
"great styles ,great outfits that all look so good on you.I Like them jeans alot.You make them look so good on you.",shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Everything you try on babe looks amazing on you 😻😻🍰🍑👌😋💍💍😘😘💕💕✨✨🫂🫂💋💋👑👑,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Lovely 😊,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
The outfit and the thumbnail is a great concert outfit!,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Jeans and white t shirt super super❤,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Beautiful ❤❤❤❤❤❤❤❤❤❤❤❤❤,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Love the pieces on you,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Love the looks my awesome friend ❤,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
❤❤❤,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Littlefit all of these chill vibes clothes are nice.,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
Wonderful 💖😍😋,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
CARLA TODO TE QUEDA MEJOR QUE LAS MODELOS DE LAS FOTOS.,shein,Exploring My Fashion Style With Shein | Full Try-On Haul Review
I’ve never seen the goats assemble 🐐 in one place like this before 😮 🔥 1:36,nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
"Shane really said ""Trying to get a good one, but I can't"" at 12:48 LMAO.",nike,Nike SB’s “Hai Def” Shanghai Tour - Behind the Scenes
